path,published_risk,modified_risk,risk_change,trend
G->L->N->C,3.3,3.2,-0.09999999999999964,→ Sabit
G->L->N->E,3.3,3.0,-0.2999999999999998,↓ İyileşen
G->L->N->M,3.1,3.2,0.10000000000000009,↑ Kötüleşen
G->L->N->O,1.5,3.3,1.7999999999999998,↑ Kötüleşen
H->E,3.6,3.1,-0.5,↓ İyileşen
H->E->D,4.3,4.0,-0.2999999999999998,↓ İyileşen
H->E->D->C,5.0,4.7,-0.2999999999999998,↓ İyileşen
H->E->F,4.4,4.2,-0.20000000000000018,↓ İyileşen
H->E->F->G,4.9,4.6,-0.3000000000000007,↓ İyileşen
H->E->N,2.4,2.1,-0.2999999999999998,↓ İyileşen
H->E->N->C,3.6,3.3,-0.30000000000000027,↓ İyileşen
H->E->N->L,1.8,1.6,-0.19999999999999996,↓ İyileşen
H->E->N->M,3.4,3.3,-0.10000000000000009,↓ İyileşen
H->E->N->O,1.8,3.4,1.5999999999999999,↑ Kötüleşen
H->G,3.1,2.9,-0.20000000000000018,↓ İyileşen
H->G->F,4.1,4.1,0.0,→ Sabit
H->G->F->E,4.9,4.6,-0.3000000000000007,↓ İyileşen
H->G->L,2.1,2.0,-0.10000000000000009,↓ İyileşen
H->G->L->K,3.1,3.0,-0.10000000000000009,↓ İyileşen
H->G->L->M,3.1,3.2,0.10000000000000009,↑ Kötüleşen
H->G->L->N,1.5,1.5,0.0,→ Sabit
H->I,3.9,3.7,-0.19999999999999973,↓ İyileşen
H->I->J,4.9,4.8,-0.10000000000000053,↓ İyileşen
H->I->J->K,5.2,5.1,-0.10000000000000053,↓ İyileşen
H->I->M,4.7,4.8,0.09999999999999964,→ Sabit
H->I->M->C,5.3,5.3,0.0,→ Sabit
H->I->M->K,5.0,5.1,0.09999999999999964,→ Sabit
H->I->M->L,3.5,3.6,0.10000000000000009,↑ Kötüleşen
H->I->M->N,3.5,3.6,0.10000000000000009,↑ Kötüleşen
H->L,0.0,0.0,0.0,→ Sabit
H->L->G,2.1,2.0,-0.10000000000000009,↓ İyileşen
H->L->G->F,3.1,3.1,0.0,→ Sabit
H->L->K,2.0,2.0,0.0,→ Sabit
H->L->K->C,3.3,3.2,-0.09999999999999964,→ Sabit
H->L->K->J,3.3,3.3,0.0,→ Sabit
H->L->K->M,3.1,3.2,0.10000000000000009,↑ Kötüleşen
H->L->M,2.1,2.3,0.19999999999999973,↑ Kötüleşen
H->L->M->C,3.4,3.4,0.0,→ Sabit
H->L->M->I,3.5,3.6,0.10000000000000009,↑ Kötüleşen
H->L->M->K,3.1,3.2,0.10000000000000009,↑ Kötüleşen
H->L->M->N,1.6,1.7,0.09999999999999987,→ Sabit
H->L->N,0.0,0.0,0.0,→ Sabit
H->L->N->C,1.8,1.7,-0.10000000000000009,↓ İyileşen
H->L->N->E,1.8,1.6,-0.19999999999999996,↓ İyileşen
H->L->N->M,1.6,1.7,0.09999999999999987,→ Sabit
H->L->N->O,0.0,1.8,1.8,↑ Kötüleşen
I->H,3.9,3.7,-0.19999999999999973,↓ İyileşen
I->H->E,5.0,4.6,-0.40000000000000036,↓ İyileşen
